skills;skills_ai_det;skills_hasai_det;desc_tier_llm;desc_conf_llm;ai_confidence;desc_ai_llm;is_real_ai;hardskills;softskills;edu_level_det;edulevel_llm;experience_min_llm;ai_det_llm_match;desc_hard_det;desc_soft_det;desc_hard_llm;desc_soft_llm;id;job_title;location;company_id;company;age_in_days;pay_currency;pay_period;salary_min;salary_mid;salary_max;rating;discover_date;job_types;remote_work_types;city;state;country;latitude;longitude;ceo;headquarters;industry;sector;revenue;size;type;year_founded;region;job_family;sector_nace;cluster_architecture__methods;cluster_bi__analytics;cluster_backend_development;cluster_certifications;cluster_cloud_computing;cluster_data_analysis__stats;cluster_data_engineering;cluster_data_science__ml;cluster_databases__storage;cluster_devops__containers;cluster_dynamic__web;cluster_enterprise__managed;cluster_enterprise_platforms;cluster_frontend_development;cluster_generative_ai;cluster_legacy__mainframe;cluster_mobile__desktop;cluster_networking;cluster_os__embedded;cluster_scripting__shell;cluster_security__identity;cluster_systems_programming;cluster_testing_qa__debugging;cluster_tools__editors;skill_cluster;website
React, JavaScript;;0;none;0.85;0.85;;0;javascript, next.js, react;;;-;4;1;javascript, next.js, react;;;;2202;Front End Developer;Bengaluru;10675031.0;iSHR;323;INR;MONTHLY;70000.0;70000.0;70000.0;5.0;2025-09-24T00:00:00;;;Bengaluru;Karnataka;India;12.96697;77.58728;Mannish Kumarr ;Dubai, United Arab Emirates;Staffing, Recruitment & Subcontracting;Human resources and staffing;Unknown / Non-Applicable;51 to 200 Employees;Company - Private;2018.0;Unknown;Frontend & Design;N;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;;
Node.js, React, Test automation, Mentoring, UX, Front-end development, Figma, TypeScript;;0;none;0.88;0.88;;0;event-driven, figma, frontend development, full stack, node.js, react, real-time data, software engineering, test automation, typescript, ux;autonomous, coaching, collaboration, innovation, mentoring, teamwork;;-;8;1;event-driven, figma, frontend development, full stack, node.js, react, real-time data, software engineering, test automation, typescript, ux;autonomous, coaching, collaboration, innovation, mentoring, teamwork;;;2203;Senior Front End Engineer - Full Stack;Bengaluru;531883.0;ANCA Pty Ltd;36;INR;ANNUAL;486111.0;651254.0;872500.0;3.7;2025-10-08T00:00:00;;;Bengaluru;Karnataka;India;12.96697;77.58728;Martin-Ulrich Ripple;Bayswater North, Australia;Consumer Product Manufacturing;Manufacturing;$100 to $500 million (USD);501 to 1000 Employees;Company - Private;1974.0;Unknown;Frontend & Design;C;1;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;;
Node.js, CSS, Bootstrap, React, Git, PHP, JavaScript, Redux, GitHub, Agile, Front-end development, HTML5;;0;none;0.84;0.84;;0;agile, bootstrap, css, express, frontend development, git, github, html, javascript, koa, node.js, php, react, redux;;;-;1;1;agile, bootstrap, css, express, frontend development, git, github, html, javascript, koa, node.js, php, react, redux;;;;2204;Front End Developer (PHP);Gurgaon;10180245.0;Wise Business Technologies;325;INR;ANNUAL;120000.0;309342.0;797439.0;-0.100000001;2025-09-23T00:00:00;;;Gurgaon;Haryana;India;28.47017;77.06069;;Pānīpat, India;;;Unknown / Non-Applicable;Unknown;Company - Public;;Unknown;Frontend & Design;Unknown;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;;
Node.js, React, English, JavaScript, Software development, TypeScript, HTML5;;0;none;0.87;0.87;;0;frontend development, full stack, html, javascript, node.js, react, software engineering, typescript, ui;continuous learning, creativity, flexibility, growth mindset, ownership, problem solving;;-;3;1;frontend development, full stack, html, javascript, node.js, react, software engineering, typescript, ui;continuous learning, creativity, flexibility, growth mindset, ownership, problem solving;;;2205;Software Development Engineer II (Web Extensions);Bengaluru;8147435.0;Learneo;117;INR;;;;;5.0;2025-09-18T00:00:00;;;Bengaluru;Karnataka;India;12.96697;77.58728;Andrew Grauer;Redwood City, United States;Internet & Web Services;Information Technology;Unknown / Non-Applicable;51 to 200 Employees;Company - Private;2022.0;Unknown;Software Developer;J;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;;
WordPress, Java, SQL, PHP, JavaScript, Front-end development, Communication skills;;0;none;0.85;0.85;;0;frontend development, java, javascript, laravel, php, sql;communication;;-;1;1;frontend development, java, javascript, laravel, php, sql;communication;;;2206;Female Web Developer/ Full stack developer (Female);Mohali;2593796.0;Hilt Web Solutions Pvt Ltd.;18;INR;MONTHLY;8000.0;24000.0;40000.0;4.4;2025-09-26T00:00:00;Full-time;;Mohali;Punjab;India;30.70133;76.69045;;Mohali, India;;;Unknown / Non-Applicable;1 to 50 Employees;Company - Private;;Unknown;Software Developer;Unknown;0;0;1;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;;
CI/CD, Node.js, Data structures, MongoDB, OOP, PostgreSQL, Continuous integration, DynamoDB;;0;none;0.85;0.85;;0;ci/cd, continuous integration, dynamodb, mongodb, node.js, oop, postgresql;;bachelor;-;1;1;ci/cd, continuous integration, dynamodb, mongodb, node.js, oop, postgresql;;;;2207;Node.js Developer;Surat;3106065.0;Unikwork;0;INR;MONTHLY;25000.0;25000.0;25000.0;4.8;2025-10-14T00:00:00;Full-time;;Surat;Gujarat;India;21.18499;72.8359;;Surat, India;Information Technology Support Services;Information Technology;$1 to $5 million (USD);51 to 200 Employees;Company - Private;2015.0;Unknown;Software Developer;J;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Node.js, CSS, JavaScript, Front-end development, GraphQL, Communication skills, HTML5;;0;none;0.86;0.86;;0;code quality, css, frontend development, graphql, html, javascript, node.js, quasar, ui, ui/ux, vue, vuex;collaboration, communication, cross-functional collaboration, teamwork;;-;5;1;code quality, css, frontend development, graphql, html, javascript, node.js, quasar, ui, ui/ux, vue, vuex;collaboration, communication, cross-functional collaboration, teamwork;;;2208;Vue3 Developer;Chennai;;squashapps;5;INR;;;;;;2025-10-09T00:00:00;;WORK_FROM_HOME;Chennai;Tamil Nadu;India;13.05033;80.18859;;;;;;;;;Unknown;Software Developer;Unknown;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;;
;;0;none;0.4;0.4;;0;excel;flexibility, leadership;;-;0;1;excel;flexibility, leadership;;;2209;Front End Developer;Pālī;;AeronPay;189;INR;;;;;;2025-10-07T00:00:00;;;Pālī;Rajasthan;India;25.72634;73.32419;;;;;;;;;Unknown;Frontend & Design;Unknown;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
CSS, React, Git, Responsive web design, JavaScript, REST, Redux, APIs, UI, Communication skills, Debugging, HTML5;;0;none;0.9;0.9;;0;api, css, debugging, frontend development, git, html, javascript, react, redux, responsive design, rest, ui, ux, version control;collaboration, communication, innovation, problem solving;bachelor;Bachelor's;5;1;api, css, debugging, frontend development, git, html, javascript, react, redux, responsive design, rest, ui, ux, version control;collaboration, communication, innovation, problem solving;;;2210;UI Developer (React JS);India;;Infutive Technology Pvt Ltd;21;INR;MONTHLY;70000.0;75000.0;80000.0;;2025-09-22T00:00:00;Full-time;;;;India;20.0;77.0;;;;;;;;;Unknown;Frontend & Design;Unknown;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;;
CSS, React, JavaScript, Front-end development, Figma, TypeScript;;0;none;0.98;0.98;;0;accessibility, css, figma, frontend development, javascript, next.js, react, tailwind, typescript, ui;ownership;;-;0;1;accessibility, css, figma, frontend development, javascript, next.js, react, tailwind, typescript, ui;ownership;;;2211;Front End Developer;Gurgaon;1947730.0;Exambazaar;11;INR;ANNUAL;300000.0;300000.0;300000.0;4.3;2025-10-03T00:00:00;Full-time;;Gurgaon;Haryana;India;28.47017;77.06069;;Jaipur, India;;;Unknown / Non-Applicable;1 to 50 Employees;Company - Private;;Unknown;Frontend & Design;Unknown;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;;
React;;0;none;0.85;0.85;;0;networking, qa, react, ui/ux;continuous learning, problem solving;;-;-;1;networking, qa, react, ui/ux;continuous learning, problem solving;;;2212;UI/UX DEVELOPER;Noida;8414618.0;Proeffico Solutions;324;INR;ANNUAL;120000.0;309342.0;797439.0;4.5;2025-09-23T00:00:00;Full-time, Internship;WORK_FROM_HOME;Noida;Uttar Pradesh;India;28.53518;77.38624;;Noida, India;;;Unknown / Non-Applicable;1 to 50 Employees;Company - Private;;Unknown;Frontend & Design;Unknown;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;;
Jira, AJAX, CSS, Bootstrap, Google Tag Manager, Trello, Git, Responsive web design, PHP, JavaScript, REST, UX, APIs, Agile, Web services, UI, JSON, SaaS, Google Analytics, Communication skills, jQuery, Debugging, HTML5;;0;none;0.97;0.97;;0;agile, api, bootstrap, css, debugging, frontend development, git, google analytics, html, javascript, jira, jquery, json, optimization, php, reporting, responsive design, rest, seo, trello, ui, ui/ux, ux, web services;attention to detail, collaboration, communication, passion, problem solving, self-motivated, teamwork;bachelor;Bachelor's;-;1;agile, api, bootstrap, css, debugging, frontend development, git, google analytics, html, javascript, jira, jquery, json, optimization, php, reporting, responsive design, rest, seo, trello, ui, ui/ux, ux, web services;attention to detail, collaboration, communication, passion, problem solving, self-motivated, teamwork;;;2213;Senior Front End Developer;Thāne;10511901.0;TalentNest Solutions;0;INR;ANNUAL;350000.0;494975.0;700000.0;-0.100000001;2025-10-13T00:00:00;Full-time;;Thāne;Maharashtra;India;19.27254;72.86809;;Mumbai, India;;;Unknown / Non-Applicable;Unknown;Company - Public;;Unknown;Frontend & Design;Unknown;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;;
Node.js, Software troubleshooting, Software deployment, NoSQL, Git, Databases, Microservices, SQL, REST, APIs, TypeScript, Communication skills;;0;none;0.95;0.95;;0;api, devops, frontend development, git, microservices, node.js, nosql, rest, safe, solid, sql, typescript, version control;collaboration, communication, innovation, problem solving, troubleshooting;;-;5;1;api, devops, frontend development, git, microservices, node.js, nosql, rest, safe, solid, sql, typescript, version control;collaboration, communication, innovation, problem solving, troubleshooting;;;2214;Sr. Node Js Developer;Mumbai;5911867.0;Wits Innovation Lab;76;INR;ANNUAL;315000.0;410518.0;535000.0;3.8;2025-09-30T00:00:00;;;Mumbai;Maharashtra;India;18.93013;72.83009;;Newbury Park, Australia;Enterprise Software & Network Solutions;Information Technology;Unknown / Non-Applicable;51 to 200 Employees;Company - Private;2019.0;Unknown;Software Developer;J;1;0;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;;
CSS, JavaScript, Front-end development, jQuery, HTML5;;0;none;0.96;0.96;;0;clean code, css, frontend development, gsap, html, javascript, jquery, three.js, ui/ux;creativity;;-;-;1;clean code, css, frontend development, gsap, html, javascript, jquery, three.js, ui/ux;creativity;;;2215;Front End Developer Intern;India;2979930.0;Nilesh IT Solution;28;INR;MONTHLY;10000.0;10000.0;10000.0;4.4;2025-09-15T00:00:00;Full-time, Internship;;;;India;20.0;77.0;;Vadodara, India;Information Technology Support Services;Information Technology;$5 to $25 million (USD);1 to 50 Employees;Company - Private;2017.0;Unknown;Frontend & Design;J;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;;
CI/CD, Node.js, CSS, React, Git, JavaScript, Continuous integration, REST, Redux, APIs, Scalability, HTML5;;0;none;0.94;0.94;;0;api, ci/cd, continuous integration, css, frontend development, git, html, javascript, node.js, react, redux, rest, version control;attention to detail, collaboration, cross-functional collaboration, innovation, problem solving;;-;-;1;api, ci/cd, continuous integration, css, frontend development, git, html, javascript, node.js, react, redux, rest, version control;attention to detail, collaboration, cross-functional collaboration, innovation, problem solving;;;2216;Front End Developer;Cochin;9364225.0;DBiz AI Solutions;25;INR;ANNUAL;312500.0;437321.0;612000.0;3.2;2025-09-18T00:00:00;Full-time;;Cochin;Kerala;India;9.93606;76.26145;;Melbourne, Australia;;;Unknown / Non-Applicable;201 to 500 Employees;Company - Private;;Unknown;Frontend & Design;Unknown;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;;
Jira, Drupal, CSS, Bootstrap, React, Git, Docker, JavaScript, SASS, UX, Agile, Front-end development, Less, SSH, AI, Communication skills, HTML5;ai;1;ai_integration;0.7;0.7;AI-powered, AI tools, AI accelerators, Drupal AI, orchestration system;0;agile, bitbucket, bootstrap, css, docker, frontend development, git, gulp, html, http, javascript, jira, less, next.js, orchestration, react, sass, scrum, solid, tailwind, ui, ux, vite, vue, webpack;attention to detail, collaboration, communication, flexibility, innovation, leadership, ownership, problem solving;;-;1;1;agile, bitbucket, bootstrap, css, docker, frontend development, git, gulp, html, http, javascript, jira, less, next.js, orchestration, react, sass, scrum, solid, tailwind, ui, ux, vite, vue, webpack;attention to detail, collaboration, communication, flexibility, innovation, leadership, ownership, problem solving;;;2217;Drupal Developer (Front-End);Remote;1327286.0;QED42;46;INR;;;;;4.4;2025-09-28T00:00:00;;WORK_FROM_HOME;;;India;20.0;77.0;Dipen Chaudhary;Pune, India;Information Technology Support Services;Information Technology;Unknown / Non-Applicable;51 to 200 Employees;Company - Private;2009.0;Unknown;Frontend & Design;J;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;;
Node.js, CSS, React, Git, Responsive web design, JavaScript, ECMAScript, SASS, Redux, UX, APIs, Agile, Front-end development, Less, UI, Unit testing, Debugging, HTML5, SDLC;;0;none;0.97;0.97;;0;agile, api, babel, css, debugging, enzyme, frontend development, git, html, javascript, jest, less, node.js, npm, react, redux, responsive design, sass, software engineering, test cases, ui, unit testing, ux, version control, webpack;collaboration, reliability, troubleshooting;bachelor;Bachelor's;1;1;agile, api, babel, css, debugging, enzyme, frontend development, git, html, javascript, jest, less, node.js, npm, react, redux, responsive design, sass, software engineering, test cases, ui, unit testing, ux, version control, webpack;collaboration, reliability, troubleshooting;;;2218;React Developer;India;4765026.0;Senwell Solutions;324;INR;;;;;3.2;2025-09-23T00:00:00;;;;;India;20.0;77.0;;Pune, India;;;Unknown / Non-Applicable;1 to 50 Employees;Company - Private;;Unknown;Software Developer;Unknown;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;;
CSS, Git, OOP, JavaScript, REST, APIs, HTML5;;0;none;0.95;0.95;;0;api, babel, css, git, html, javascript, jest, mocha, nuxt, oop, rest, vue, vuex, webpack;;;-;2;1;api, babel, css, git, html, javascript, jest, mocha, nuxt, oop, rest, vue, vuex, webpack;;;;2219;Vue.JS Developer;Remote;2416118.0;Riosis;325;INR;;;;;2.7;2025-09-23T00:00:00;Full-time;WORK_FROM_HOME;;;India;20.0;77.0;Rajaneesh V;Malappuram, India;Information Technology Support Services;Information Technology;Unknown / Non-Applicable;51 to 200 Employees;Company - Private;2008.0;Unknown;Software Developer;J;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;;
Node.js, CSS, React, Java, C++, C, JavaScript, REST, Angular, UX, APIs, UI, JSON, Python, HTML5;;0;none;0.72;0.72;;0;angular, api, c++, css, frontend development, html, java, javascript, json, node.js, python, react, rest, ui, ui/ux, ux;;bachelor;-;0.5;1;angular, api, c++, css, frontend development, html, java, javascript, json, node.js, python, react, rest, ui, ui/ux, ux;;;;2220;Front End Developer;Bengaluru;3027250.0;Machstatz;325;INR;ANNUAL;180000.0;189737.0;200000.0;4.5;2025-09-23T00:00:00;Full-time;;Bengaluru;Karnataka;India;12.96697;77.58728;;Bengaluru, India;Information Technology Support Services;Information Technology;Less than $1 million (USD);1 to 50 Employees;Company - Private;2017.0;Unknown;Frontend & Design;J;0;0;1;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;;
CSS, React, Communication skills, HTML5;;0;none;0.9;0.9;;0;css, html, react;analytical skills, communication, problem solving, teamwork;;-;2;1;css, html, react;analytical skills, communication, problem solving, teamwork;;;2221;Urgently Hiring For React Js Developer;Pune;2998700.0;Cakewalk Software Consultancy;325;INR;ANNUAL;193200.0;325975.0;550000.0;5.0;2025-09-23T00:00:00;;;Pune;Maharashtra;India;18.50419;73.85309;;Pune, India;;;Unknown / Non-Applicable;Unknown;Company - Private;;Unknown;Software Developer;Unknown;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;
CSS, React, Git, JavaScript, Unity, TypeScript, HTML5, Computer graphics;;0;none;0.96;0.96;;0;css, git, gsap, html, javascript, optimization, react, three.js, typescript, version control, webgl;;;-;-;1;css, git, gsap, html, javascript, optimization, react, three.js, typescript, version control, webgl;;;;2222;Front end Developer Gsap mandatory;Remote;;AI Marketing Partners;4;INR;MONTHLY;20866.666;34013.5;47160.25;;2025-10-09T00:00:00;Full-time;WORK_FROM_HOME;;;India;20.0;77.0;;;;;;;;;Unknown;Frontend & Design;Unknown;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;;
Cordova, CSS, Bootstrap, React, Analysis skills, JavaScript, SASS, Angular, Software development, Agile, Less, React Native, HTML5;;0;none;0.96;0.96;;0;agile, angular, bootstrap, cordova, cross-platform, css, frontend development, html, ionic, javascript, less, react, react native, sass, software engineering;coaching, creativity, flexibility, mentoring, problem solving, work ethic;bachelor;Bachelor's;2;1;agile, angular, bootstrap, cordova, cross-platform, css, frontend development, html, ionic, javascript, less, react, react native, sass, software engineering;coaching, creativity, flexibility, mentoring, problem solving, work ethic;;;2223;Senior Front-End Developer – I;Gurgaon;985488.0;Josh Technology Group;133;INR;ANNUAL;885000.0;940744.0;1000000.0;3.5;2025-10-03T00:00:00;;WORK_FROM_HOME;Gurgaon;Haryana;India;28.47017;77.06069;;Gurgaon, India;Internet & Web Services;Information Technology;Unknown / Non-Applicable;51 to 200 Employees;Company - Private;2009.0;Unknown;Frontend & Design;J;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;;
CSS, Software troubleshooting, React, Performance testing, Project management, JavaScript, Redux, UI, Debugging, HTML5;;0;none;0.97;0.97;;0;css, debugging, enzyme, frontend development, html, javascript, performance testing, react, redux, ui, webpack;flexibility, project management, troubleshooting;;-;4;1;css, debugging, enzyme, frontend development, html, javascript, performance testing, react, redux, ui, webpack;flexibility, project management, troubleshooting;;;2224;React js. Developer;Noida;4788175.0;Webnotics Solutions;133;INR;;;;;3.6;2025-10-02T00:00:00;Full-time;;Noida;Uttar Pradesh;India;28.53518;77.38624;Lalit Yadav;New York, United States;Information Technology Support Services;Information Technology;Unknown / Non-Applicable;Unknown;Company - Private;;Unknown;Software Developer;J;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;;
Azure, MVC, React, iOS, English, AWS, JavaScript, PostgreSQL, REST, Redux, React Native, MySQL;;0;none;0.82;0.82;;0;android, aws, azure, gcp, ios, javascript, mysql, postgresql, react, react native, redux, rest, web services;innovation, passion, responsibility, teamwork;;-;3;1;android, aws, azure, gcp, ios, javascript, mysql, postgresql, react, react native, redux, rest, web services;innovation, passion, responsibility, teamwork;;;2225;REMOTE Front-end Developer/ React and ReactNative;India;647034.0;Helius Technologies;325;INR;;;;;4.4;2025-09-23T00:00:00;Full-time, Part-time;WORK_FROM_HOME;;;India;20.0;77.0;;Singapore, Singapore;Information Technology Support Services;Information Technology;$5 to $25 million (USD);501 to 1000 Employees;Company - Private;2006.0;Unknown;Frontend & Design;J;0;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;;
CSS, Bootstrap, WordPress, Web development, PHP, JavaScript, REST, SEO, APIs, Figma, Communication skills, jQuery, Debugging, HTML5;;0;none;0.96;0.96;;0;api, bootstrap, css, debugging, figma, frontend development, html, javascript, jquery, optimization, php, rest, seo, tailwind, ui, web development;attention to detail, collaboration, communication, problem solving;associate;-;2;1;api, bootstrap, css, debugging, figma, frontend development, html, javascript, jquery, optimization, php, rest, seo, tailwind, ui, web development;attention to detail, collaboration, communication, problem solving;;;2226;Front End Developer;Delhi;;Jai Veeru;5;INR;MONTHLY;15000.0;17500.0;20000.0;;2025-10-09T00:00:00;Full-time;;;;India;20.0;77.0;;;;;;;;;Unknown;Frontend & Design;Unknown;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;;
Web accessibility, Web design, CSS, English, Responsive web design, Analysis skills, UX, Design thinking, AI, Communication skills, HTML5;ai;1;none;0.95;0.95;;0;accessibility, css, debugging, excel, frontend development, html, networking, responsive design, tailwind, ui, ux, web development;adaptability, attention to detail, collaboration, communication, continuous learning, creativity, fast learner, flexibility, initiative, interpersonal skills, mentoring, problem solving, troubleshooting;;-;2;0;accessibility, css, debugging, excel, frontend development, html, networking, responsive design, tailwind, ui, ux, web development;adaptability, attention to detail, collaboration, communication, continuous learning, creativity, fast learner, flexibility, initiative, interpersonal skills, mentoring, problem solving, troubleshooting;;;2227;Front End Developer (HTML, CSS, Tailwind);Surat;2464483.0;EnactOn Technologies;324;INR;ANNUAL;600000.0;600000.0;600000.0;4.5;2025-09-24T00:00:00;Contract, Internship, Entry Level;;Surat;Gujarat;India;21.18499;72.8359;;Surat, India;Information Technology Support Services;Information Technology;Less than $1 million (USD);1 to 50 Employees;Company - Private;2019.0;Unknown;Frontend & Design;J;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;;
CSS, Software troubleshooting, React, Web development, Git, Responsive web design, JavaScript, REST, APIs, Front-end development, Communication skills, HTML5;;0;none;0.93;0.93;;0;api, code quality, css, frontend development, git, html, javascript, react, responsive design, rest, ui/ux, version control, web development;attention to detail, communication, mentoring, problem solving, troubleshooting;bachelor;Bachelor's;0;1;api, code quality, css, frontend development, git, html, javascript, react, responsive design, rest, ui/ux, version control, web development;attention to detail, communication, mentoring, problem solving, troubleshooting;;;2228;Front End Developer Intern;Mumbai;;INK IN CAPS MEDIA & MARKETING LLP;75;INR;MONTHLY;10000.0;11000.0;12000.0;;2025-09-30T00:00:00;Internship;;Mumbai;Maharashtra;India;18.93013;72.83009;;;;;;;;;Unknown;Frontend & Design;Unknown;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;;
CSS, React, Responsive web design, JavaScript, Usability, Angular, UX, APIs, Front-end development, UI, Communication skills, HTML5;;0;none;0.94;0.94;;0;accessibility, angular, api, cross-platform, css, frontend development, html, javascript, react, responsive design, ui, ui/ux, ux, vue;attention to detail, communication, creativity, problem solving, teamwork;bachelor;Bachelor's;2;1;accessibility, angular, api, cross-platform, css, frontend development, html, javascript, react, responsive design, ui, ui/ux, ux, vue;attention to detail, communication, creativity, problem solving, teamwork;;;2229;Front End Web Developer;Gurgaon;;Skin elements;57;INR;ANNUAL;300000.0;400000.0;500000.0;;2025-09-18T00:00:00;Full-time;;Gurgaon;Haryana;India;28.47017;77.06069;;;;;;;;;Unknown;Frontend & Design;Unknown;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;;
CSS, React, Software deployment, Git, AWS, JavaScript, REST, Angular, APIs, S3, TypeScript, HTML5;;0;none;0.96;0.96;;0;angular, api, api integration, aws, cloudfront, code quality, css, frontend development, git, html, javascript, react, rest, s3, solid, typescript, version control, vue;;;-;2;1;angular, api, api integration, aws, cloudfront, code quality, css, frontend development, git, html, javascript, react, rest, s3, solid, typescript, version control, vue;;;;2230;Front End Developer;Noida;;Cretum Advisory;14;INR;ANNUAL;300000.0;400000.0;500000.0;;2025-09-29T00:00:00;Full-time;;Noida;Uttar Pradesh;India;28.53518;77.38624;;;;;;;;;Unknown;Frontend & Design;Unknown;1;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;;
CSS, React, JavaScript, UX, APIs, UI, jQuery, HTML5;;0;none;0.9;0.9;;0;api, css, frontend development, html, javascript, jquery, react, requests, routing, ui, ui/ux, ux;independent;;-;1.5;1;api, css, frontend development, html, javascript, jquery, react, requests, routing, ui, ui/ux, ux;independent;;;2231;RJ React Developer;Mumbai;4569055.0;We3 Tech;325;INR;ANNUAL;500000.0;611555.0;748000.0;3.7;2025-09-23T00:00:00;;;Mumbai;Maharashtra;India;18.93013;72.83009;;Mumbai, India;Information Technology Support Services;Information Technology;Unknown / Non-Applicable;51 to 200 Employees;Company - Private;2020.0;Unknown;Software Developer;J;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;;
Adobe Photoshop, CSS, Bootstrap, React, WordPress, Visual Studio, Git, English, PHP, JavaScript, SCSS, SASS, UX, GitHub, UI, Figma, GitLab, Debugging, HTML5;;0;none;0.94;0.94;;0;accessibility, bootstrap, css, debugging, figma, frontend development, git, github, gitlab, html, javascript, optimization, php, react, sass, scss, seo, ui, ui/ux, ux, version control, visual studio, visual studio code, vue;attention to detail, collaboration, creativity, problem solving;bachelor;Bachelor's;1;1;accessibility, bootstrap, css, debugging, figma, frontend development, git, github, gitlab, html, javascript, optimization, php, react, sass, scss, seo, ui, ui/ux, ux, version control, visual studio, visual studio code, vue;attention to detail, collaboration, creativity, problem solving;;;2232;Front End Developer;India;;SmartFish Designs Pvt. Ltd.;4;INR;MONTHLY;10000.0;20000.0;30000.0;;2025-10-10T00:00:00;Full-time;;;;India;20.0;77.0;;;;;;;;;Unknown;Frontend & Design;Unknown;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;;
CSS, React, Git, Responsive web design, JavaScript, Angular, APIs, HTML5;;0;none;0.94;0.94;;0;accessibility, angular, api, code quality, css, frontend development, git, html, javascript, react, responsive design, ui/ux, version control, vue;;;-;3;1;accessibility, angular, api, code quality, css, frontend development, git, html, javascript, react, responsive design, ui/ux, version control, vue;;;;2233;Frontend Developer;Bengaluru;;Input Zero Technologies Pvt Ltd;0;INR;ANNUAL;407324.0;553662.0;700000.0;;2025-10-13T00:00:00;Full-time;;Bengaluru;Karnataka;India;12.96697;77.58728;;;;;;;;;Unknown;Frontend & Design;Unknown;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;;
CSS, React, Quality assurance, JavaScript, REST, APIs, GraphQL, HTML5;;0;none;0.92;0.92;;0;api, css, frontend development, graphql, html, javascript, jest, next.js, qa, react, react testing library, rest, software engineering;;;-;3;1;api, css, frontend development, graphql, html, javascript, jest, next.js, qa, react, react testing library, rest, software engineering;;;;2234;Sr. Front-End Developer;Mohali;3396334.0;SourceMash Technologies;74;INR;ANNUAL;255000.0;433662.0;737500.0;3.4;2025-09-30T00:00:00;;;Mohali;Punjab;India;30.70133;76.69045;;Mohali, India;;;Unknown / Non-Applicable;51 to 200 Employees;Company - Private;;Unknown;Frontend & Design;Unknown;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;;
